Table ID,Line,UniqueID,Stub,Data Release
 ,,,,
B00001,,,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,"1,5"
B00001,,,Universe:  Total population,
B00001,1,B00001_001,Total ,
, ,,,
B00002, ,,UNWEIGHTED SAMPLE HOUSING UNITS,"1,5"
B00002, ,,Universe:  Housing units,
B00002,1,B00002_001,Total,
, ,,    ,
B01001, ,,SEX BY AGE,"1,5"
B01001, ,,Universe:  Total population,
B01001,1,B01001_001,Total:,
B01001,2,B01001_002,Male:,
B01001,3,B01001_003,Under 5 years,
B01001,4,B01001_004,5 to 9 years,
B01001,5,B01001_005,10 to 14 years,
B01001,6,B01001_006,15 to 17 years,
B01001,7,B01001_007,18 and 19 years,
B01001,8,B01001_008,20 years,
B01001,9,B01001_009,21 years,
B01001,10,B01001_010,22 to 24 years,
B01001,11,B01001_011,25 to 29 years,
B01001,12,B01001_012,30 to 34 years,
B01001,13,B01001_013,35 to 39 years,
B01001,14,B01001_014,40 to 44 years,
B01001,15,B01001_015,45 to 49 years,
B01001,16,B01001_016,50 to 54 years,
B01001,17,B01001_017,55 to 59 years,
B01001,18,B01001_018,60 and 61 years,
B01001,19,B01001_019,62 to 64 years,
B01001,20,B01001_020,65 and 66 years,
B01001,21,B01001_021,67 to 69 years,
B01001,22,B01001_022,70 to 74 years,
B01001,23,B01001_023,75 to 79 years,
B01001,24,B01001_024,80 to 84 years,
B01001,25,B01001_025,85 years and over,
B01001,26,B01001_026,Female:,
B01001,27,B01001_027,Under 5 years,
B01001,28,B01001_028,5 to 9 years,
B01001,29,B01001_029,10 to 14 years,
B01001,30,B01001_030,15 to 17 years,
B01001,31,B01001_031,18 and 19 years,
B01001,32,B01001_032,20 years,
B01001,33,B01001_033,21 years,
B01001,34,B01001_034,22 to 24 years,
B01001,35,B01001_035,25 to 29 years,
B01001,36,B01001_036,30 to 34 years,
B01001,37,B01001_037,35 to 39 years,
B01001,38,B01001_038,40 to 44 years,
B01001,39,B01001_039,45 to 49 years,
B01001,40,B01001_040,50 to 54 years,
B01001,41,B01001_041,55 to 59 years,
B01001,42,B01001_042,60 and 61 years,
B01001,43,B01001_043,62 to 64 years,
B01001,44,B01001_044,65 and 66 years,
B01001,45,B01001_045,67 to 69 years,
B01001,46,B01001_046,70 to 74 years,
B01001,47,B01001_047,75 to 79 years,
B01001,48,B01001_048,80 to 84 years,
B01001,49,B01001_049,85 years and over,
 ,,,,
B01001A, ,,SEX BY AGE (WHITE ALONE),"1,5"
B01001A, ,,Universe:  People who are White alone,
B01001A,1,B01001A_001,Total:,
B01001A,2,B01001A_002,Male:,
B01001A,3,B01001A_003,Under 5 years ,
B01001A,4,B01001A_004,5 to 9 years ,
B01001A,5,B01001A_005,10 to 14 years ,
B01001A,6,B01001A_006,15 to 17 years ,
B01001A,7,B01001A_007,18 and 19 years ,
B01001A,8,B01001A_008,20 to 24 years ,
B01001A,9,B01001A_009,25 to 29 years ,
B01001A,10,B01001A_010,30 to 34 years ,
B01001A,11,B01001A_011,35 to 44 years ,
B01001A,12,B01001A_012,45 to 54 years ,
B01001A,13,B01001A_013,55 to 64 years ,
B01001A,14,B01001A_014,65 to 74 years ,
B01001A,15,B01001A_015,75 to 84 years ,
B01001A,16,B01001A_016,85 years and over ,
B01001A,17,B01001A_017,Female:,
B01001A,18,B01001A_018,Under 5 years ,
B01001A,19,B01001A_019,5 to 9 years ,
B01001A,20,B01001A_020,10 to 14 years ,
B01001A,21,B01001A_021,15 to 17 years ,
B01001A,22,B01001A_022,18 and 19 years ,
B01001A,23,B01001A_023,20 to 24 years ,
B01001A,24,B01001A_024,25 to 29 years ,
B01001A,25,B01001A_025,30 to 34 years ,
B01001A,26,B01001A_026,35 to 44 years ,
B01001A,27,B01001A_027,45 to 54 years ,
B01001A,28,B01001A_028,55 to 64 years ,
B01001A,29,B01001A_029,65 to 74 years ,
B01001A,30,B01001A_030,75 to 84 years ,
B01001A,31,B01001A_031,85 years and over ,
 ,,,,
C01001A,,,SEX BY AGE (WHITE ALONE),1
C01001A,,,Universe:  People who are White alone,
C01001A,1,C01001A_001,Total:,
C01001A,2,C01001A_002,Male:,
C01001A,3,C01001A_003,Under 18 years,
C01001A,4,C01001A_004,18 to 64 years,
C01001A,5,C01001A_005,65 years and over,
C01001A,6,C01001A_006,Female:,
C01001A,7,C01001A_007,Under 18 years,
C01001A,8,C01001A_008,18 to 64 years,
C01001A,9,C01001A_009,65 years and over,
,,,,
B01001B, ,,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),"1,5"
B01001B, ,,Universe:  Black or African American alone,
B01001B,1,B01001B_001,Total:,
B01001B,2,B01001B_002,Male:,
B01001B,3,B01001B_003,Under 5 years ,
B01001B,4,B01001B_004,5 to 9 years ,
B01001B,5,B01001B_005,10 to 14 years ,
B01001B,6,B01001B_006,15 to 17 years ,
B01001B,7,B01001B_007,18 and 19 years ,
B01001B,8,B01001B_008,20 to 24 years ,
B01001B,9,B01001B_009,25 to 29 years ,
B01001B,10,B01001B_010,30 to 34 years ,
B01001B,11,B01001B_011,35 to 44 years ,
B01001B,12,B01001B_012,45 to 54 years ,
B01001B,13,B01001B_013,55 to 64 years ,
B01001B,14,B01001B_014,65 to 74 years ,
B01001B,15,B01001B_015,75 to 84 years ,
B01001B,16,B01001B_016,85 years and over ,
B01001B,17,B01001B_017,Female:,
B01001B,18,B01001B_018,Under 5 years ,
B01001B,19,B01001B_019,5 to 9 years ,
B01001B,20,B01001B_020,10 to 14 years ,
B01001B,21,B01001B_021,15 to 17 years ,
B01001B,22,B01001B_022,18 and 19 years ,
B01001B,23,B01001B_023,20 to 24 years ,
B01001B,24,B01001B_024,25 to 29 years ,
B01001B,25,B01001B_025,30 to 34 years ,
B01001B,26,B01001B_026,35 to 44 years ,
B01001B,27,B01001B_027,45 to 54 years ,
B01001B,28,B01001B_028,55 to 64 years ,
B01001B,29,B01001B_029,65 to 74 years ,
B01001B,30,B01001B_030,75 to 84 years ,
B01001B,31,B01001B_031,85 years and over ,
 ,,,,
C01001B,,,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),1
C01001B,,,Universe:  Black or African American alone,
C01001B,1,C01001B_001,Total:,
C01001B,2,C01001B_002,Male:,
C01001B,3,C01001B_003,Under 18 years,
C01001B,4,C01001B_004,18 to 64 years,
C01001B,5,C01001B_005,65 years and over,
C01001B,6,C01001B_006,Female:,
C01001B,7,C01001B_007,Under 18 years,
C01001B,8,C01001B_008,18 to 64 years,
C01001B,9,C01001B_009,65 years and over,
,,,,
B01001C, ,,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),"1,5"
B01001C, ,,Universe:  People who are American Indian and Alaska Native alone,
B01001C,1,B01001C_001,Total:,
B01001C,2,B01001C_002,Male:,
B01001C,3,B01001C_003,Under 5 years ,
B01001C,4,B01001C_004,5 to 9 years ,
B01001C,5,B01001C_005,10 to 14 years ,
B01001C,6,B01001C_006,15 to 17 years ,
B01001C,7,B01001C_007,18 and 19 years ,
B01001C,8,B01001C_008,20 to 24 years ,
B01001C,9,B01001C_009,25 to 29 years ,
B01001C,10,B01001C_010,30 to 34 years ,
B01001C,11,B01001C_011,35 to 44 years ,
B01001C,12,B01001C_012,45 to 54 years ,
B01001C,13,B01001C_013,55 to 64 years ,
B01001C,14,B01001C_014,65 to 74 years ,
B01001C,15,B01001C_015,75 to 84 years ,
B01001C,16,B01001C_016,85 years and over ,
B01001C,17,B01001C_017,Female:,
B01001C,18,B01001C_018,Under 5 years ,
B01001C,19,B01001C_019,5 to 9 years ,
B01001C,20,B01001C_020,10 to 14 years ,
B01001C,21,B01001C_021,15 to 17 years ,
B01001C,22,B01001C_022,18 and 19 years ,
B01001C,23,B01001C_023,20 to 24 years ,
B01001C,24,B01001C_024,25 to 29 years ,
B01001C,25,B01001C_025,30 to 34 years ,
B01001C,26,B01001C_026,35 to 44 years ,
B01001C,27,B01001C_027,45 to 54 years ,
B01001C,28,B01001C_028,55 to 64 years ,
B01001C,29,B01001C_029,65 to 74 years ,
B01001C,30,B01001C_030,75 to 84 years ,
B01001C,31,B01001C_031,85 years and over ,
 ,,,,
C01001C,,,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),1
C01001C,,,Universe:  People who are American Indian and Alaska Native alone,
C01001C,1,C01001C_001,Total:,
C01001C,2,C01001C_002,Male:,
C01001C,3,C01001C_003,Under 18 years,
C01001C,4,C01001C_004,18 to 64 years,
C01001C,5,C01001C_005,65 years and over,
C01001C,6,C01001C_006,Female:,
C01001C,7,C01001C_007,Under 18 years,
C01001C,8,C01001C_008,18 to 64 years,
C01001C,9,C01001C_009,65 years and over,
,,,,
B01001D, ,,SEX BY AGE (ASIAN ALONE),"1,5"
B01001D, ,,Universe:  People who are Asian alone,
B01001D,1,B01001D_001,Total:,
B01001D,2,B01001D_002,Male:,
B01001D,3,B01001D_003,Under 5 years ,
B01001D,4,B01001D_004,5 to 9 years ,
B01001D,5,B01001D_005,10 to 14 years ,
B01001D,6,B01001D_006,15 to 17 years ,
B01001D,7,B01001D_007,18 and 19 years ,
B01001D,8,B01001D_008,20 to 24 years ,
B01001D,9,B01001D_009,25 to 29 years ,
B01001D,10,B01001D_010,30 to 34 years ,
B01001D,11,B01001D_011,35 to 44 years ,
B01001D,12,B01001D_012,45 to 54 years ,
B01001D,13,B01001D_013,55 to 64 years ,
B01001D,14,B01001D_014,65 to 74 years ,
B01001D,15,B01001D_015,75 to 84 years ,
B01001D,16,B01001D_016,85 years and over ,
B01001D,17,B01001D_017,Female:,
B01001D,18,B01001D_018,Under 5 years ,
B01001D,19,B01001D_019,5 to 9 years ,
B01001D,20,B01001D_020,10 to 14 years ,
B01001D,21,B01001D_021,15 to 17 years ,
B01001D,22,B01001D_022,18 and 19 years ,
B01001D,23,B01001D_023,20 to 24 years ,
B01001D,24,B01001D_024,25 to 29 years ,
B01001D,25,B01001D_025,30 to 34 years ,
B01001D,26,B01001D_026,35 to 44 years ,
B01001D,27,B01001D_027,45 to 54 years ,
B01001D,28,B01001D_028,55 to 64 years ,
B01001D,29,B01001D_029,65 to 74 years ,
B01001D,30,B01001D_030,75 to 84 years ,
B01001D,31,B01001D_031,85 years and over ,
 ,,,,
C01001D,,,SEX BY AGE (ASIAN ALONE),1
C01001D,,,Universe:  People who are Asian alone,
C01001D,1,C01001D_001,Total:,
C01001D,2,C01001D_002,Male:,
C01001D,3,C01001D_003,Under 18 years,
C01001D,4,C01001D_004,18 to 64 years,
C01001D,5,C01001D_005,65 years and over,
C01001D,6,C01001D_006,Female:,
C01001D,7,C01001D_007,Under 18 years,
C01001D,8,C01001D_008,18 to 64 years,
C01001D,9,C01001D_009,65 years and over,
,,,,
B01001E, ,,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),"1,5"
B01001E, ,,Universe:  People who are Native Hawaiian and Other Pacific Islander alone,
B01001E,1,B01001E_001,Total:,
B01001E,2,B01001E_002,Male:,
B01001E,3,B01001E_003,Under 5 years ,
B01001E,4,B01001E_004,5 to 9 years ,
B01001E,5,B01001E_005,10 to 14 years ,
B01001E,6,B01001E_006,15 to 17 years ,
B01001E,7,B01001E_007,18 and 19 years ,
B01001E,8,B01001E_008,20 to 24 years ,
B01001E,9,B01001E_009,25 to 29 years ,
B01001E,10,B01001E_010,30 to 34 years ,
B01001E,11,B01001E_011,35 to 44 years ,
B01001E,12,B01001E_012,45 to 54 years ,
B01001E,13,B01001E_013,55 to 64 years ,
B01001E,14,B01001E_014,65 to 74 years ,
B01001E,15,B01001E_015,75 to 84 years ,
B01001E,16,B01001E_016,85 years and over ,
B01001E,17,B01001E_017,Female:,
B01001E,18,B01001E_018,Under 5 years ,
B01001E,19,B01001E_019,5 to 9 years ,
B01001E,20,B01001E_020,10 to 14 years ,
B01001E,21,B01001E_021,15 to 17 years ,
B01001E,22,B01001E_022,18 and 19 years ,
B01001E,23,B01001E_023,20 to 24 years ,
B01001E,24,B01001E_024,25 to 29 years ,
B01001E,25,B01001E_025,30 to 34 years ,
B01001E,26,B01001E_026,35 to 44 years ,
B01001E,27,B01001E_027,45 to 54 years ,
B01001E,28,B01001E_028,55 to 64 years ,
B01001E,29,B01001E_029,65 to 74 years ,
B01001E,30,B01001E_030,75 to 84 years ,
B01001E,31,B01001E_031,85 years and over ,
 ,,,,
C01001E,,,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),1
C01001E,,,Universe:  People who are Native Hawaiian and Other Pacific Islander alone,
C01001E,1,C01001E_001,Total:,
C01001E,2,C01001E_002,Male:,
C01001E,3,C01001E_003,Under 18 years,
C01001E,4,C01001E_004,18 to 64 years,
C01001E,5,C01001E_005,65 years and over,
C01001E,6,C01001E_006,Female:,
C01001E,7,C01001E_007,Under 18 years,
C01001E,8,C01001E_008,18 to 64 years,
C01001E,9,C01001E_009,65 years and over,
,,,,
B01001F, ,,SEX BY AGE (SOME OTHER RACE ALONE),"1,5"
B01001F, ,,Universe:  People who are Some Other Race alone,
B01001F,1,B01001F_001,Total:,
B01001F,2,B01001F_002,Male:,
B01001F,3,B01001F_003,Under 5 years ,
B01001F,4,B01001F_004,5 to 9 years ,
B01001F,5,B01001F_005,10 to 14 years ,
B01001F,6,B01001F_006,15 to 17 years ,
B01001F,7,B01001F_007,18 and 19 years ,
B01001F,8,B01001F_008,20 to 24 years ,
B01001F,9,B01001F_009,25 to 29 years ,
B01001F,10,B01001F_010,30 to 34 years ,
B01001F,11,B01001F_011,35 to 44 years ,
B01001F,12,B01001F_012,45 to 54 years ,
B01001F,13,B01001F_013,55 to 64 years ,
B01001F,14,B01001F_014,65 to 74 years ,
B01001F,15,B01001F_015,75 to 84 years ,
B01001F,16,B01001F_016,85 years and over ,
B01001F,17,B01001F_017,Female:,
B01001F,18,B01001F_018,Under 5 years ,
B01001F,19,B01001F_019,5 to 9 years ,
B01001F,20,B01001F_020,10 to 14 years ,
B01001F,21,B01001F_021,15 to 17 years ,
B01001F,22,B01001F_022,18 and 19 years ,
B01001F,23,B01001F_023,20 to 24 years ,
B01001F,24,B01001F_024,25 to 29 years ,
B01001F,25,B01001F_025,30 to 34 years ,
B01001F,26,B01001F_026,35 to 44 years ,
B01001F,27,B01001F_027,45 to 54 years ,
B01001F,28,B01001F_028,55 to 64 years ,
B01001F,29,B01001F_029,65 to 74 years ,
B01001F,30,B01001F_030,75 to 84 years ,
B01001F,31,B01001F_031,85 years and over ,
 ,,,,
C01001F,,,SEX BY AGE (SOME OTHER RACE ALONE),1
C01001F,,,Universe:  People who are Some Other Race alone,
C01001F,1,C01001F_001,Total:,
C01001F,2,C01001F_002,Male:,
C01001F,3,C01001F_003,Under 18 years,
C01001F,4,C01001F_004,18 to 64 years,
C01001F,5,C01001F_005,65 years and over,
C01001F,6,C01001F_006,Female:,
C01001F,7,C01001F_007,Under 18 years,
C01001F,8,C01001F_008,18 to 64 years,
C01001F,9,C01001F_009,65 years and over,
,,,,
B01001G, ,,SEX BY AGE (TWO OR MORE RACES),"1,5"
B01001G, ,,Universe:  People who are Two or More Races,
B01001G,1,B01001G_001,Total:,
B01001G,2,B01001G_002,Male:,
B01001G,3,B01001G_003,Under 5 years ,
B01001G,4,B01001G_004,5 to 9 years ,
B01001G,5,B01001G_005,10 to 14 years ,
B01001G,6,B01001G_006,15 to 17 years ,
B01001G,7,B01001G_007,18 and 19 years ,
B01001G,8,B01001G_008,20 to 24 years ,
B01001G,9,B01001G_009,25 to 29 years ,
B01001G,10,B01001G_010,30 to 34 years ,
B01001G,11,B01001G_011,35 to 44 years ,
B01001G,12,B01001G_012,45 to 54 years ,
B01001G,13,B01001G_013,55 to 64 years ,
B01001G,14,B01001G_014,65 to 74 years ,
B01001G,15,B01001G_015,75 to 84 years ,
B01001G,16,B01001G_016,85 years and over ,
B01001G,17,B01001G_017,Female:,
B01001G,18,B01001G_018,Under 5 years ,
